id,title,subtitle,author,publication,published_date,read_time_mins,claps,url,skills,data_skills
52b838da2cb8,How Windward Leverages lakeFS For Resilient Data Ingestion,Implementing CI/CD-inspired workflows built…,Lior Resisi,Data rocks,30/07/2021,4,169,https://medium.com/data-rocks/how-windward-leverages-lakefs-for-resilient-data-ingestion-52b838da2cb8,Continuous Delivery (CD); Continuous Integration (CI),
eac7898f0641,Data Engineering Roadmap For 2021,12 Steps To Help You Go From 0 To Data Engineering,SeattleDataGuy,SeattleDataGuy,31/07/2021,9,888,https://medium.com/coriers/data-engineering-roadmap-for-2021-eac7898f0641,Data Engineering; Golang,
7fb9113a01ea,Data Engineers of Netflix — Interview with Kevin Wylie,“Data Engineers of Netflix”,Netflix Technology Blog,Netflix TechBlog,31/07/2021,5,590,https://netflixtechblog.com/data-engineers-of-netflix-interview-with-kevin-wylie-7fb9113a01ea,,
435b4e911413,Five Predictions for the Future of the Modern Data Stack,,Jordan Volz,,31/07/2021,17,260,https://medium.com/@jordan_volz/five-predictions-for-the-future-of-the-modern-data-stack-435b4e911413,,
667fc3979dca,Why (and how) to put notebooks in production,"Use modern open-source tools to deploy, test, and debug…",Eduardo Blancas,Towards Data Science,31/07/2021,11,158,https://towardsdatascience.com/why-and-how-to-put-notebooks-in-production-667fc3979dca,Production Set,
ba43e67d2531,"Oh, my dbt (data build tool)",My experience and a couple of notes of using this superb tool for a month,Tomas Peluritis,Towards Data Science,31/07/2021,10,102,https://towardsdatascience.com/oh-my-dbt-data-build-tool-ba43e67d2531,Build Tool,
2e2469020b91,Top 10 Tools for Data Engineers,An increase in cloud tools and the need to process a mountain of raw data created a significant rise in…,RudderStack,Geek Culture,31/07/2021,5,263,https://medium.com/geekculture/top-10-tools-for-data-engineers-2e2469020b91,,
34c34496ed8e,From Data Driven to Driving Data— The dysfunctions of Data Engineering,,MrTrustworthy,,31/07/2021,11,310,https://medium.com/@mrtrustworthy/from-data-driven-to-driving-data-the-dysfunctions-of-data-engineering-34c34496ed8e,Data Engineering,
8c472c051fa2,Data Platform Architecture at Hurb.com,"At Hurb, we continually develops our Data Platform with two…",Lucas Rolim,hurb.engineering,02/08/2021,11,165,https://medium.com/hurb-engineering/data-platform-architecture-at-hurb-com-8c472c051fa2,Architecture; Platform,
ac3ad5795ddf,"Data & Data Engineering — the past, present, and future",,Zach Wilson,,03/08/2021,7,375,https://medium.com/@eczachly/data-data-engineering-the-past-present-and-future-ac3ad5795ddf,Data Engineering,
ad1b081d6e8f,How Airbnb Built “Wall” to prevent data bugs,"Gaining trust in data with extensive data quality, accuracy and anomaly checks",Subrata Biswas,The Airbnb Tech Blog,04/08/2021,9,394,https://medium.com/airbnb-engineering/how-airbnb-built-wall-to-prevent-data-bugs-ad1b081d6e8f,Accuracy,
4373a53a2636,Addressing the Data Catalog Identity Crisis,Is the data catalog dead? Not by a long shot. But it’s…,jonloyens,Towards Data Science,04/08/2021,5,116,https://towardsdatascience.com/addressing-the-data-catalog-identity-crisis-4373a53a2636,,
41c7ef26c96,How to schedule the ETL jobs on AWS The Easy way,A step-by-step guide to automating data extraction…,Salma El Shahawy,Geek Culture,05/08/2021,8,115,https://medium.com/geekculture/how-to-schedule-the-etl-jobs-on-aws-the-easy-way-41c7ef26c96,Amazon Web Service (AWS); Automation; Extract Transform Load (ETL),ETL
e2956bcc7b29,3 Bitter Lessons I Wish I Knew Earlier As a Big Data Engineer,The Dos and Don’ts of data engineering,Nam Nguyen,Towards Data Science,06/08/2021,6,101,https://towardsdatascience.com/3-bitter-lessons-i-wish-i-knew-earlier-as-a-big-data-engineer-e2956bcc7b29,Big Data; Data Engineering,
fdc402c7f478,How To Measure a Data Engineering Team,Data teams love calculating and tracking everything with…,Paul Singman,Whispering Data,09/08/2021,5,169,https://medium.com/whispering-data/how-to-measure-a-data-engineering-team-fdc402c7f478,Data Engineering,
c89a88cbe992,The Rise of the Operational Data Catalog,"For far too long, data catalogs have been overly focused on data users while shunning the…",Grant Seward,Towards Data Science,10/08/2021,4,302,https://towardsdatascience.com/the-rise-of-the-operational-data-catalog-c89a88cbe992,,
afe023922ef6,How To Break Into Data Engineering And Why It’s So Hard,Listing Out The Challenges And Solutions For…,SeattleDataGuy,SeattleDataGuy,11/08/2021,7,107,https://medium.com/coriers/how-to-break-into-data-engineering-and-why-its-so-hard-afe023922ef6,Data Engineering,
