id,title,channel,url,published_date,description,language,view_count,like_count,dislike_count,comment_count,relevance,data_skills,skills
wNNA7BfylPo,Complete Microsoft Excel Series 2021 | MS Excel Objective Questions and Answers in Hindi | JS Dhanju,STUDENT SUCCESS,https://youtube.com/watch?v=wNNA7BfylPo,2021-02-05T13:30:06Z,Welcome to Student Success Youtube Channel... Complete Microsoft Excel Series 2021 | MS Excel Objective Questions and Answers in Hindi | JS Dhanju Sir ...,hi,94262,3304,61,289,44.0,Excel,Banking; Email; Hindi; Microsoft Excel; Objective-C; Template; Video; Youtube
wPP_7_eI9BE,"SQL, NoSQL, Big Data and Hadoop - learn NoSQL",Bá Yến Mai,https://youtube.com/watch?v=wPP_7_eI9BE,2020-10-12T15:31:19Z,Link to this course(special discount) https://www.udemy.com/course/sql-nosql-big-data-hadoop/?,,5,0,0,0,5.0,NOSQL,Administration; Apache Hadoop; Apache Hive; Apache Kafka; Architecture; Big Data; Data Analysis; Data Analytics; Data Engineering; Database System; Distributed Database; Document-oriented Database; Elasticsearch; Golang; Graph Database Management System; HBase; Java Stored Procedure; LeSS; Linux; Microsoft; Microsoft Access; MongoDB; MySQL; NoSQL; Platform; Processing; Relational Database; Security; Streaming; Structured Query Language (SQL); Target Audience; Time Series; Training; Windows
wPTJgGanzd0,Supervised Machine Learning [Workshop],AI Club,https://youtube.com/watch?v=wPTJgGanzd0,2021-02-09T19:00:25Z,Hi members! The AI Club will be having a Machine Learning workshop where we will learn how to create and train a Supervised Machine Learning Model using ...,,39,8,0,1,43.0,Supervised Machine Learning,Artificial Intelligence (AI); Azure Machine Learning; K-Nearest Neighbours Algorithm; Semi-supervised Machine Learning; Supervised Learning; Supervised Machine Learning; Unsupervised Learning; Unsupervised Machine Learning
wZGgm80xG2U,What is Balance Sheet| Balance Sheet Analysis| Explained in Hindi,Finology ticker,https://youtube.com/watch?v=wZGgm80xG2U,2021-02-26T14:00:33Z,A balance sheet is a financial statement that shows what the business is worth at a given point in time. The purpose of the balance sheet is to provide an idea of ...,hi,40220,2184,61,109,46.0,Financial Statements,Analysis; Balance Sheet; Blogging; Email; Facebook; Financial Statement; Hindi; Instagram; Investment; Twitter; Video
waAwmY8xrgQ,Learn Apache Beam In 30 Minutes - Apache Beam Tutorial For Beginners,LimeGuru,https://youtube.com/watch?v=waAwmY8xrgQ,2020-10-30T20:18:45Z,"Learn Apache Beam In 30 Minutes - Apache Beam Tutorial For Beginners - In this vide, you will learn about core concepts of apache beam, what is apache ...",,7010,157,13,14,9.0,APACHE,Apache; Architecture; Processing
waG_JhBgUpM,📊 How to use Power BI DAX - Tutorial,Kevin Stratvert,https://youtube.com/watch?v=waG_JhBgUpM,2021-05-17T07:00:29Z,"In this step-by-step tutorial for beginners, learn how to use DAX (Data Analysis Expressions) in Microsoft Power BI. DAX is a formula language with functions.",en,109917,2981,27,158,14.0,Power BI,Business Intelligence (BI); Data Analysis; Division; Facebook; Graphical User Interface (GUI); LinkedIn; Links; Microsoft Excel; Microsoft Power BI; Multiplication; Subtraction; Table; TikTok; Twitter; User Interface (UI); Video; Youtube
wd-NrrDqN3Q,Data Structures and Algorithms in Java | Java Tutorial for Beginners | Learn Java | Great Learning,Great Learning,https://youtube.com/watch?v=wd-NrrDqN3Q,2021-06-25T07:36:50Z,"Looking for a career upgrade & a better salary? We can help, Choose from our no 1 ranked top programmes. 25k+ career transitions with 400 + top corporate ...",en-IN,3154,112,0,5,44.0,Java,Array; Artificial Intelligence (AI); Big Data Analysis; Big Data Analytics; Binary Search; Complexity; Cybersecurity; Data Science; Data Structure; Dataset; Decision Making; Java; Linked List; Machine Learning; Management; Microsoft Access; Searching; Software Development; Sorting Algorithm
wd7VJ-Z4U24,LEARN FINANCIAL STATEMENTS IN 10 MIN,Perfect classes khar,https://youtube.com/watch?v=wd7VJ-Z4U24,2021-02-24T17:32:50Z,,,18,2,0,0,30.0,Financial Statements,Financial Statement
wdmPTVzRBfs,Learning with Luce - Structure your data with Schema Validation in MongoDB,MongoDB,https://youtube.com/watch?v=wdmPTVzRBfs,2021-09-15T17:11:11Z,Come along and Learn with Luce as we look at schema validation in MongoDB with Lead Curriculum Engineer Ken Alger!,en-US,598,33,3,1,46.0,MongoDB,MongoDB
wgTW6dHJHNc,Course Syllabus | Financial Time Series Analysis | Quantra Course,Quantra,https://youtube.com/watch?v=wgTW6dHJHNc,2021-01-20T12:25:36Z,Part of the course Financial Time Series Analysis for Trading. https://quantra.quantinsti.com/course/financial-time-series-analysis-trading ***START FOR ...,en,220,4,0,1,25.0,Time Series Analysis,Algorithm; Augmented Reality (AR); Autocorrelation (ACF); Autoregressive (AR) Model; Autoregressive Integrated Moving Average (ARIMA) Model; Autoregressive-Moving-Average (ARMA) Model; Correlation; Facebook; Golang; Linear Regression; Market; Nonlinear Regression; Partial Autocorrelation (PACF); Regression; Time Series Analysis; Time Series Forecasting; Time Series Model; Trade; Twitter; Variable; Video
